speed_kmh,energy_kcal_kg_km,sd_lower,sd_upper,category,n_group
8,1.044813278,0.939004149,1.14439834,elite,24
9,1.011618257,0.947302905,1.080082988,elite,24
10,0.949377593,0.887136929,1.013692946,elite,24
11,0.922406639,0.864315353,0.986721992,elite,24
12,0.907883817,0.85186722,0.978423237,elite,24
13,0.899585062,0.839419087,0.963900415,elite,24
14,0.901659751,0.860165975,0.968049793,elite,24
15,0.909958506,0.864315353,0.97219917,elite,24
16,0.914107884,0.864315353,0.978423237,elite,24
17,0.928630705,0.878838174,0.992946058,elite,24
8,1.148547718,1.061410788,1.233609959,recreational,68
9,1.088381743,1.00746888,1.169294606,recreational,68
10,1.038589212,0.961825726,1.117427386,recreational,68
11,1.019917012,0.947302905,1.09253112,recreational,68
12,1.003319502,0.932780083,1.071784232,recreational,68
